category,title,body,origin
"한화생명, 한화손보, 한화증권","한화생명, 금감원 ‘즉시연금 지급’ 조정안 거부
","한화생명이 즉시연금 과소지급분을 가입자에게 돌려주라는 금융감독원의 분쟁조정 결과를 거부했다. 금감원은 약관에 불분명한 부분에 대해서 가입자에게 유리하게 해석해야 한다는 입장이지만, 한화생명 쪽은 법리적인 해석이 더 필요하다고 봤다. 앞서 삼성생명이 즉시연금 일괄구제를 두고 “법적 판단을 받겠다”고 한 것처럼, 한화생명과 금감원 사이의 장기적인 법적 공방이 불가피할 것으로 보인다.","한화생명이 즉시연금 과소지급분을 가입자에게 돌려주라는 금융감독원의 분쟁조정 결과를 거부했다. 금감원은 약관에 불분명한 부분에 대해서 가입자에게 유리하게 해석해야 한다는 입장이지만, 한화생명 쪽은 법리적인 해석이 더 필요하다고 봤다. 앞서 삼성생명이 즉시연금 일괄구제를 두고 “법적 판단을 받겠다”고 한 것처럼, 한화생명과 금감원 사이의 장기적인 법적 공방이 불가피할 것으로 보인다.
9일 한화생명은 금감원 금융분쟁조정위원회(분조위) 바로연금보험(즉시연금) 조정결정에 대해 불수용 의견서를 제출했다. 한화생명 쪽은 “약관에 대한 추가적인 법리 해석이 필요하다고 판단했다”고 설명했다.
한화생명의 즉시연금은 가입자가 처음에 목돈(보험료)을 내면, 이 돈에서 일부 사업비 등을 뗀 돈(순보험료)을 보험사가 굴려 발생한 운용 수익을 매달 연금으로 받고 만기 때 원금을 돌려받는 상품이다. 다만, 보험사는 운용 수익 전부를 매달 연금으로 주지 않고, 만기 때 원금을 돌려주기 위한 재원으로 조금씩 떼어 적립한다. 이렇게 조금씩 떼어두는 돈을 ‘만기보험금 지급재원’이라고 하는데, 쟁점은 약관상 만기보험금 지급재원을 매달 떼어두는 것을 알 수 있느냐는 것이다.
분조위는 한화생명 즉시연금 약관엔 지급금액과 관련해 ‘연금개시시의 책임준비금을 기준으로 만기보험금을 고려하여’라고 적힌 부분을 문제 삼았다. 분조위는 이 대목에서 만기보험금을 ‘차감하여’라고 정확하게 쓰지 않았기 때문에, 가입자가 ‘고려하여’라는 대목을 읽고 ‘차감’한다고 이해하기 어렵다고 판단했다. 또 보험사는 지급재원을 산출방법서에 따라 계산한다고 약관에 있다고 주장했지만, 분조위는 산출방법서도 보험사 내부 문건으로 계약자가 알기 어렵기 때문에 산출방법서를 ‘약관의 일부’로 인정할 수 없다고 결론을 내렸다.
한화생명 관계자는 “같은 약관으로 즉시연금 상품 유형이 ‘거치형’과 ‘즉시형’ 두 가지 종류가 있었기 때문에, 거치형 상품은 만기환급 재원을 더 주는 경우도 있어서 ‘차감하여’가 아닌 ‘고려하여’라고 썼다”며 “금감원의 조정결정에 따르면 거치형 가입자는 오히려 연금을 덜 받는 형평성 문제가 생길 수 있다”고 말했다. 아울러 한화생명 쪽은 “나중에 법리적 논쟁 절차가 끝나는 즉시, 같은 유형의 계약자들에게 불이익이 되지 않도록 조처하겠다”고 덧붙였다.
앞서 삼성생명은 즉시연금 가입자의 민원 한 건에 대해서는 금감원의 분쟁조정 결과는 수용했지만, 전체 가입자 5만5000명을 일괄구제해 4300억원을 더 주라는 금감원 권고는 지난달 26일 이사회를 열어 거부했다. 한화생명은 삼성 사례처럼 한 건만 수용해도, 일괄구제를 해야 할 처지에 놓인다는 것을 염두에 두고 조정결정 자체를 거부한 것으로 보인다. 금감원은 이 조정결정에 일괄구제를 적용하면, 한화생명이 즉시연금 가입자 2만5천명에게 850억원을 줘야한다고 추산했다. 금융사가 분조위의 조정결정을 거부한 것은 매우 이례적이다. 금감원 쪽은 “최근 4~5년간 분조위 결정을 거부한 사례가 없었다”고 말했다.
이날 한화생명의 조정결정 불수용 의견에 대해 금감원 관계자는 “보험의 기본은 약관인데, 보험사가 약관상 명확하지 않은 것을 인정하지 않은 것”이라고 비판하며, 향후 대응 방향은 “다음주 금감원장이 직접 밝힐 것”이라고 말했다."
"한화생명, 한화손보, 한화증권","기금운용본부장에 주진형 前 한화증권 사장 '유력'
","기금이사추천위원회는 지난달 19일 접수 마감한 기금운용본부장(기금이사) 공개모집에 지원한 30명을 대상으로 1차 서류전형을 실시하고, 면접심사를 받을 후보자를 가려내고 있다. 면접심사는 21일 치러진다. 국민연금공단은 신임 기금운용본부장이 내달 선임될수 있을 것으로 보고 있다. 주진형 전 한화투자증권 사장, 류영재 서스틴베스트 대표, 안효준 BN K금융지주 글로벌 총괄 부문장 등 13명이 서류전형을 통과한 것으로 알려졌다. ","1년 이상 공석 상태인 국민연금 기금운용본부장에 누가 임명될지 오는 21일께 윤곽이 드러날 것으로 보인다.

8일 국민연금공단에 따르면, 기금이사추천위원회는 지난달 19일 접수 마감한 기금운용본부장(기금이사) 공개모집에 지원한 30명을 대상으로 1차 서류전형을 실시하고, 면접심사를 받을 후보자를 가려내고 있다.

면접심사는 21일 치러진다. 국민연금공단은 신임 기금운용본부장이 내달 선임될수 있을 것으로 보고 있다.

주진형 전 한화투자증권 사장, 류영재 서스틴베스트 대표, 안효준 BN K금융지주 글로벌 총괄 부문장 등 13명이 서류전형을 통과한 것으로 알려졌다.

금융투자업계와 정치권에서는 여러 후보 중에서도 기금운용본부장 물망에 계속 올랐던 주 전 사장이 유력하다는 관측이 나온다.

주 전 사장은 2013년부터 2016년까지 한화투자증권 사장을 역임하면서 매도 리포트 확대, 고위험 주식 선정 발표, 수수료 기준의 개인 성과급제 폐지 등 파격 행보를 이어가면서 ‘미스터(Mr.) 쓴소리’, ‘증권업계의 돈키호테’라는 별명을 얻었다.

그는 2015년 당시 삼성물산과 제일모직 합병에 반대 의견을 내면서 사임 압력을 받았고, 지난해 박근혜 전 대통령 재판에 출석해 국민연금의 삼성물산과 제일모직 합병 찬성 결정에 청와대가 개입한 정황이 있다고 증언한 바 있다.

2016년 더불어민주당에 합류해 국민경제상황실 부실장을 지냈으며, 당시 “국민연금이 임대주택을 늘리는데 투자해서 젊은 세대의 주거비용을 줄이고, 보육원을 늘려 양육비용을 낮춰 출산율을 올려줘야 한다”면서 국민연금의 공공투자에 찬성하는 입장을 밝히기도 했다. 면접심사가 계획대로 진행되면 기금이사추천위는 1명 또는 2명의 후보자를 뽑아금융거래 전력을 조회해 이상 여부를 점검한 뒤 공단 이사장에게 최종 적임자 1명을 추천한다. 이사장은 보건복지부 장관의 승인절차를 거쳐 기금운용본부장을 임명한다.

임기는 2년이며, 성과에 따라 1년 연임할 수 있다. 이번에 새로 인선하는 기금운용본부장은 1999년 기금운용본부가 출범한 이후 8번째 본부장이며, 기금이사로는 9번째가 된다.

기금운용본부장은 국민 노후자금 635조원 가량을 굴리는 책임자로 ‘자본시장의 대통령’으로 불린다.

하지만 7대 강면욱 전 본부장이 지난해 7월 17일 일신상의 사유로 2년 임기를 채우지 못하고 중도 사퇴하면서 지금까지 1년 넘게 비어있다. 국민연금공단은 지난 2월 공모절차를 개시했으나 곽태선 전 베어링자산운용 대표 등 3명의 최종 후보자 가운데 적격자가 없다는 이유로 지난 6월 27일 재공모를 결정했다."
"한화생명, 한화손보, 한화증권","한화생명, 상반기 당기순이익 2448억원…전년比 39.2% 감소
","한화생명 (5,120원▼ 30 -0.58%)은 올해 상반기 당기순이익이 2448억원을 기록했다고 10일 밝혔다. 이는 작년 상반기(4028억원) 대비 39.2% 감소한 수준이다.  상반기 수입보험료는 8조1036억원으로 같은 기간 5.28% 감소했다. 영업이익도 2615억원으로 44.16% 줄었다. 한화생명 관계자는 ""작년에 부동산 매각에 따른 일회성 이익이 700억원 정도 있었고, 올해 주식시장이 좋지 않아 보증준비금 쌓은 것에 대한 환입액이 줄어든 것도 실적에 악영향을 미쳤다""고 말했다. ","한화생명 (4,720원▲ 115 2.50%)은 올해 상반기 당기순이익이 2448억원을 기록했다고 10일 밝혔다. 이는 작년 상반기(4028억원) 대비 39.2% 감소한 수준이다. 

상반기 수입보험료는 8조1036억원으로 같은 기간 5.28% 감소했다. 영업이익도 2615억원으로 44.16% 줄었다.

한화생명 관계자는 ""작년에 부동산 매각에 따른 일회성 이익이 700억원 정도 있었고, 올해 주식시장이 좋지 않아 보증준비금 쌓은 것에 대한 환입액이 줄어든 것도 실적에 악영향을 미쳤다""고 말했다."
은행권 동향,"부정 로그인 곤욕치른 우리은행, 인공지능 FDS 구축 추진
",우리은행은 인공지능 기술을 기반으로 금융거래의 정상/비정상 여부를 확인하고 초당 1200 건에 대해 분석 및 대응이 가능한 솔루션 도입을 추진한다.  앞서 우리은행은 지난 6월 23~27일 동일한 IP로 약 75만회에 걸쳐 인터넷뱅킹 접속 시도가 발생했다고 밝혔다. 이 중 5만6000여 회는 로그인에 성공했다. 인터넷뱅킹을 통한 출금 피해는 없었다고 은행 측은 밝혔지만 대응 방식에 의문을 남기기도 했다. ,"지난 6월 인터넷뱅킹을 대상으로 해킹으로 의심되는 부정 로그인 시도가 대량 발생해 곤욕을 치렀던 우리은행이 인공지능 기반 FDS시스템 구축에 나섰다. 

우리은행은 인공지능 기술을 기반으로 금융거래의 정상/비정상 여부를 확인하고 초당 1200 건에 대해 분석 및 대응이 가능한 솔루션 도입을 추진한다. 

앞서 우리은행은 지난 6월 23~27일 동일한 IP로 약 75만회에 걸쳐 인터넷뱅킹 접속 시도가 발생했다고 밝혔다. 이 중 5만6000여 회는 로그인에 성공했다. 인터넷뱅킹을 통한 출금 피해는 없었다고 은행 측은 밝혔지만 대응 방식에 의문을 남기기도 했다. 

금융감독원도 우리은행에서 벌어진 수십만 건의 인터넷뱅킹 부정접속 시도에 대해 점검에 나섰다. 금감원은 우리은행이 당시 즉각 신고하지 않은 합당한 이유가 있었는지, 부정접속을 통한 로그인이 일부 성공하기 전에 미리 IP(인터넷프로토콜)를 차단할 수 없었는지 등을 살펴보고 있다.

업계에서는 우리은행의 부정 로그인 시도 발생 이후 이상거래탐지시스템(FDS)이 제대로 작동됐는지 등을 주목하고 있다. 우리은행은 “FDS(이상금융거래탐지시스템)와 일부 민원을 통해 공격 사실을 인지하게 됐다”고 밝혀 FDS를 통해 이상거래는 인지했던 것으로 보인다. 다만 정상거래 여부에 대해서 판단을 하는 과정이 5일이나 소요되는 등 문제를 노출했다. 

FDS는 이상거래를 탐지하는데 그치지 않고 해당 거래를 취소하거나 접근시도를 차단하는 등 후속조치가 필수적으로 따라야 하는데 이러한 프로세스가 빠르게 완결되지 못한 것이다. 

우리은행은 여러 가지 후속조치를 취하고 있는 과정에 보다 정밀한 FDS 고도화 사업에 나설 방침이다. 우리은행은 이번 인공지는 기반 FDS 구축을 통해 과거거래에 대한 패턴 분석 후 이상거래 여부를 판단하는 딥러닝 시스템을 구현할 계획이다. 

인터넷뱅킹·스마트뱅킹·텔레뱅킹 등의 금융거래 시스템과 연동하는 한편 이상거래 탐지를 자동화기기(CD/ATM)에 확대 적용한다. 또, 고객정보 등 업무 시스템과 연동하고 기타 부정행위 분석을 위한 업무 시스템과 연동한다는 계획이다.  

또, 기존 규칙(Rule) 기반 FDS와 인공지능 탐지모델을 상호 보완적으로 운영 병행해 대량데이터 분석이 가능한 현 FDS시스템 고도화와 함께 인공지능을 통해 부정거래를 정밀 탐지하겠다는 방침이다. 

FDS 업계 관계자는 “최근 FDS는 룰 기반과 인공지능을 결합해 이상거래 탐지를 보다 고도화하는데 초점을 맞추고 있다”며 “룰 기반으로 알려진 위협에 대응하고 인공지능을 통해 인간이 판단하기 어려운 이상거래를 찾아내는데 역점을 두고 있다”고 전했다."
은행권 동향,"우리은행 노조 ""손태승 행장에 지주사 회장 겸직 건의""
","박 위원장은 ""지주사로 전환된다 해도 출범 직후에는 사실상 우리은행 비중이 절대적인데 지주사 회장과 은행장을 분리할 필요가 없다""며 ""향후 다양한 비은행 계열사를 편입하기 전까지는 손 행장이 회장을 겸직하는 게 바람직하다는 뜻을 전했다""고 설명했다. 우리은행 노조의 이 같은 요청은 지주사 전환 후 마련되는 회장직에 대한 외부 '낙하산' 가능성을 차단하기 위해서이기도 하다. 노조는 지난해 말 행장 교체 과정에서도 낙하산 반대 입장을 밝힌 바 있다. ","우리은행 노동조합이 손태승 행장에게 지주사 전환 후 회장직 겸임을 건의했다. 
 
박필준 우리은행 노조위원장은 ""최근 손 행장을 만나 향후 우리금융지주가 출범하면 회장직을 겸임할 것을 건의했다""고 9일 밝혔다. 
 
박 위원장은 ""지주사로 전환된다 해도 출범 직후에는 사실상 우리은행 비중이 절대적인데 지주사 회장과 은행장을 분리할 필요가 없다""며 ""향후 다양한 비은행 계열사를 편입하기 전까지는 손 행장이 회장을 겸직하는 게 바람직하다는 뜻을 전했다""고 설명했다. 

우리은행 노조의 이 같은 요청은 지주사 전환 후 마련되는 회장직에 대한 외부 '낙하산' 가능성을 차단하기 위해서이기도 하다. 노조는 지난해 말 행장 교체 과정에서도 낙하산 반대 입장을 밝힌 바 있다.  

우리은행은 과점주주 체제의 민영화를 이뤘지만 여전히 단일주주로는 예금보험공사가 최대 지분(18.4%)을 보유한 탓에 CEO(최고경영자) 선임 시기마다 정부의 '입김'에서 자유롭지 않다는 평가가 존재해 왔다"
은행권 동향,"신한은행, 분당 네이버 사옥에 ‘무인점포’ 개설
","무인화 점포는 디지털 키오스크와 자동화기기(ATM)를 배치한 초소형 점포로, 기존 ATM만 보유한 무인점포를 고도화한 것이다. 고객은 디지털 키오스크에서 계좌 개설, 체크카드 발급, 인터넷뱅킹 가입 등 대부분의 은행업무를 처리하고 ATM에서는 현금을 입출금할 수 있다. 신한은행은 고객을 위해 디지털 키오스크를 독립적인 공간으로 구성해 편안하게 화상상담을 받을 수 있게 했다.","신한은행이 경기도 성남시 네이버 사옥에 무인화 점포를 개설했다.

6일 신한은행에 따르면 무인화 점포는 디지털 키오스크와 자동화기기(ATM)를 배치한 초소형 점포로, 기존 ATM만 보유한 무인점포를 고도화한 것이다.

고객은 디지털 키오스크에서 계좌 개설, 체크카드 발급, 인터넷뱅킹 가입 등 대부분의 은행업무를 처리하고 ATM에서는 현금을 입출금할 수 있다.


신한은행은 고객을 위해 디지털 키오스크를 독립적인 공간으로 구성해 편안하게 화상상담을 받을 수 있게 했다.

신한은행은 지난달 31일 서울시 중구 남산타운아파트 상가동에 무인화 점포를 개설했으며,이달 서울 안암동 고려대학교 인근에도 무인화 점포를 개설할 계획이다.

신한은행 관계자는 “디지털 시대에 오프라인 채널은 사라지지 않고 다양한 형태로 변모하게 될 것”이라며 “무인화 점포모델과 같은 다양한 유형의 점포를 지속해서 확대하겠다”고 말했다."
은행권 동향,"‘리딩뱅크 수성이냐 탈환이냐’ KB금융 vs 신한금융 해외 승부가 관건
","금융감독원 전자공시시스템에 따르면 신한금융의 올 상반기 순이익은 1조 7956억 원으로 집계됐다. 순이익 1조 9150억 원을 기록한 KB금융에 약 1200억 원가량 뒤졌다, 우리은행은 1조 3059억 원의 순이익을 거뒀고, 하나금융은 1조 3038억 원의 순이익을 기록했다.  그러나 KB금융의 상승세가 더 강했다. KB금융은 올해 1분기 1107억 원이던 신한금융과 순익 격차를 2분기 말 1194억 원으로 소폭 늘렸다. 특히 카드사에서 신한금융과 KB금융의 희비가 엇갈렸다. ","신한금융그룹(회장 조용병)이 KB금융그룹(회장 윤종규)의 벽에 가로막혀 정상 탈환에 또 실패했다. 신한금융은 올해 상반기 좋은 성과를 거뒀지만 지난해 KB금융에 내준 리딩뱅크 자리를 되찾는 데 애를 먹고 있다. 주력인 은행의 순이익이 KB국민은행만 못한 데다 ‘넘버 2’인 신한카드의 수익이 급락하면서 2위 자리를 지키는데 만족해야 했다. 

금융감독원 전자공시시스템에 따르면 신한금융의 올 상반기 순이익은 1조 7956억 원으로 집계됐다. 순이익 1조 9150억 원을 기록한 KB금융에 약 1200억 원가량 뒤졌다, 우리은행은 1조 3059억 원의 순이익을 거뒀고, 하나금융은 1조 3038억 원의 순이익을 기록했다. 

신한금융은 지난해 KB금융에 리딩뱅크를 뺏기며 9년 만에 1위 자리에서 물러났다. 신한금융은 지난해에도 순이익 2조 9481억 원을 달성하며 선전했지만 3조 3119억 원의 순이익을 내며 ‘3조 클럽’에 입성한 KB금융에 밀리고 말았다.  

신한금융의 올해 상반기 순이익은 지난해 같은 기간에 비해 4.9% 감소했지만 경상이익 기준으로는 7년 만에 가장 큰 규모를 보였다. 지난해 1분기 계열사인 신한카드에서 발생한 일회성 요인인 대손충당금 환입(세후 2800억 원)을 제외한 경상이익은 11.3% 증가했다. 

그러나 KB금융의 상승세가 더 강했다. KB금융은 올해 1분기 1107억 원이던 신한금융과 순익 격차를 2분기 말 1194억 원으로 소폭 늘렸다. 특히 카드사에서 신한금융과 KB금융의 희비가 엇갈렸다. 신한은행 다음으로 많은 순이익을 내던 신한카드의 상반기 순이익은 2819억 원으로 지난해 상반기 6312억 원보다 55.3% 감소했다. 반면 KB국민카드는 1686억 원의 순이익을 기록하며 전년 동기보다 9.8% 증가했다. 

KB국민카드의 상반기 순이익은 한국자산관리공사(캠코)에 매각한 채권 대금 307여억 원 등 일회성 요인이 포함된 것이지만 이를 제외하고도 카드수수료 수익이 증가세를 보이며 실적 선방을 이뤘다는 평가가 나온다. 신한카드는 카드수수료 인하 여파에 수수료 수익이 감소했다. 신한카드의 올해 상반기 신용카드 수수료 수익은 1794억 원으로 전년 동기(1813억 원) 대비 1.0% 줄었지만, KB국민카드의 신용카드 수수료 수익은 2290억 원으로 전년 동기(2181억원) 대비 29.8% 증가했다."
은행권 동향,"금융위, 조직개편 후속인사 마무리... 금융기획혁신단장에 권대영 국장
","고려대 경영학과를 졸업한 권대영 신임 단장은 재정경제부(현 기획재정부) 외화자금과를 거쳐 금융위 자산운용과장, 중소금융과장, 은행과장, 금융정책과장 등을 역임했다. 한동안 공석이던 금융혁신기획단과 금융혁신과 담당자가 마침내 확정됐다. 금융위는 지난 6일 핀테크 정책을 전담할 금융혁신과장에는 송현도 과장을 임명했다. 지난달 26일 조직개편을 통해 금융혁신기획단을 신설했다. 2년 한시 조직으로, 핀테크 산업을 육성하고 관련 제도를 선제적으로 마련한다. 금융혁신과와 전자금융과, 금융데이터정책과 총 3개과로 확대 개편했다.","금융위원회가 조직 신설에 따른 후속인사를 마무리했다. 암호화폐, P2P, 핀테크 등 4차 산업혁명 관련 금융을 담당할 사령탑이 임명되면서 금융혁신지원법에도 속도가 붙게 됐다.

금융위는 권대영 국장을 금융혁신기획단장으로 선임했다고 10일 밝혔다. 권대영 국장은 청와대 경제정책비서관으로 파견갔다가 복귀했다. 

고려대 경영학과를 졸업한 권대영 신임 단장은 재정경제부(현 기획재정부) 외화자금과를 거쳐 금융위 자산운용과장, 중소금융과장, 은행과장, 금융정책과장 등을 역임했다.

한동안 공석이던 금융혁신기획단과 금융혁신과 담당자가 마침내 확정됐다. 금융위는 지난 6일 핀테크 정책을 전담할 금융혁신과장에는 송현도 과장을 임명했다.

지난달 26일 조직개편을 통해 금융혁신기획단을 신설했다. 2년 한시 조직으로, 핀테크 산업을 육성하고 관련 제도를 선제적으로 마련한다. 금융혁신과와 전자금융과, 금융데이터정책과 총 3개과로 확대 개편했다. "
은행권 동향,"수협은행의 이유있는 '역주행'…영업망 확대 가속
","수협은행은 오는 13일 경기도 철산역 지점을 신규 오픈해 전국 132개 점포를 확보하게 됐다. 상반기 4곳(나주혁신도시·부산명지지점·다산신도시·부산마린시티출장소)에 이은 올해 들어 5번째 신규 지점이다. 수협은행 관계자는 “올해 10개 이상의 지점 오픈을 계획하고 있다”며 “규모가 큰 지점도 있겠지만 소규모 인원으로 구성된 작은 점포인 허브앤스포크 영업점이 주를 이룰 것”이라고 설명했다. 또한 수협은행은 올해 하반기 동탄, 평택 등 경기도 신도시를 중심으로 지점을 추가 개설하는 방안을 검토 중이다.","Sh수협은행이 역주행하고 있다. 비대면 거래가 일상화되며 지점을 속속 줄이고 있는 주요 시중은행과 달리 지점을 빠르게 늘려나가고 있는 것. 어민과 수산정책자금을 지원하는 특수은행을 넘어 ‘누구나 쉽게 이용하는 은행’으로 거듭나기 위한 이유 있는 역주행이란 평가가 나온다. 

6일 금융권에 따르면 수협은행은 오는 13일 경기도 철산역 지점을 신규 오픈해 전국 132개 점포를 확보하게 됐다. 상반기 4곳(나주혁신도시·부산명지지점·다산신도시·부산마린시티출장소)에 이은 올해 들어 5번째 신규 지점이다. 

수협은행 관계자는 “올해 10개 이상의 지점 오픈을 계획하고 있다”며 “규모가 큰 지점도 있겠지만 소규모 인원으로 구성된 작은 점포인 허브앤스포크 영업점이 주를 이룰 것”이라고 설명했다. 

또한 수협은행은 올해 하반기 동탄, 평택 등 경기도 신도시를 중심으로 지점을 추가 개설하는 방안을 검토 중이다. 

아울러 ‘영업망 재편 차원’의 지점 이전에도 적극적이다. 상반기 2곳(부산 영도지점·신항만지점)을 시작으로 올 하반기 내에 인천 서구 가좌지점, 대구 중구 반월당지점, 서울 관악구 봉천동지점 등의 이전을 추진하고 있다. 

수협은행의 이러한 행보는 주요 시중은행과는 전혀 다른 행보다. KB국민, 신한, 우리은행 등은 최근 몇 년 새 업무 효율화의 일환으로 은행 지점을 빠르게 줄여왔다.

KB국민은행은 2013년 3월 말 1187곳이었던 국내 점포가 올해 3월 말 기준 1053곳으로 줄었다. 신한은행과 우리은행도 같은 기간 각각 944곳에서 873곳, 989곳에서 880곳으로 감소했다. 반면 수협은행의 점포는 2016년 12월 말 123곳에서 이달 기준 132곳으로 되레 9곳 늘었다.

은행은 규모의 경제를 이뤄야만 수익성을 가질 수 있는 대표적 업종이다. 하지만 수협은행은 그간 점포 확대에 상당한 애로를 겪어왔다. 

외환위기 당시 정부에서 받은 천문학적 규모의 공적자금(1조원 규모)이 발목을 잡아 온 탓이다. 점포 확대가 곧장 수익으로 이어지는 구조가 아니다 보니 공적자금 환수라는 부담감에 섣불리 점포를 늘릴 수 없던 것이다. 

이랬던 수협은행은 지난해 10월 말 이동빈 행장 취임 이후 외연 확대에 속도를 내고 있다. 은행의 장기지속 성장을 위해선 외연 확대가 필수 불가결하다는 점을 강조한 이 행장의 ‘리테일 전략’의 영향이다. 이 행장은 취임 이후 ‘중견은행·일등은행’으로의 도약을 위해 리테일 금융을 강화해야 한다고 줄곧 외쳐왔다. 

수협은행 관계자는 “고객을 창출하려면 지점을 늘려야 하는 것이 상식이다”며 “은행의 핵심 과제인 리테일 금융 강화를 위해 앞으로도 매년 10여개 이상의 지점 확대를 지속적으로 추진할 것이다”고 말했다. 

한편 수협은행은 이러한 목표 달성을 위해 고객 편의에 초점을 맞춘 미니뱅크 앱을 올 4분기 중에 출시할 예정이다. 카카오뱅크 등 인터넷전문은행 수준의 편의성을 제공하는 것이 목적으로 계좌이체, 비대면 상품 가입 등 소비자가 선호하는 핵심 기능만 모아 제공한다는 방침이다."
은행권 동향,"은행권, IT 인력·시스템 한 곳에 모은다
",국내 은행들이 IT센터를 비롯해 관련 조직과 인력 등 그동안 계열사별로 운영·관리했던 인프라를 하나로 모으고 있다. 계열사별로 운영·관리해왔던 기존 방식으로는 급변하는 디지털 금융환경에 신속히 대응하기 어렵다는 판단에 따른 것으로 디지털금융 경쟁력을 보다 높이기 위해 관련 인프라를 재정비하며 하나로 모으는 작업을 추진하고 있다. 3일 은행권에 따르면 국민은행은 최근 계열사별 전산시스템을 경기도 김포한강신도시에 마련될 은행 통합 IT센터로 이전하는 계획 수립할 외부업체 선정에 나섰다.,"국내 은행들이 IT센터를 비롯해 관련 조직과 인력 등 그동안 계열사별로 운영·관리했던 인프라를 하나로 모으고 있다. 계열사별로 운영·관리해왔던 기존 방식으로는 급변하는 디지털 금융환경에 신속히 대응하기 어렵다는 판단에 따른 것으로 디지털금융 경쟁력을 보다 높이기 위해 관련 인프라를 재정비하며 하나로 모으는 작업을 추진하고 있다.
 
3일 은행권에 따르면 국민은행은 최근 계열사별 전산시스템을 경기도 김포한강신도시에 마련될 은행 통합 IT센터로 이전하는 계획 수립할 외부업체 선정에 나섰다.
 
이는 국민은행뿐만 아니라 계열사들이 자체 운영 중인 전산시스템을 이전해 그룹 IT센터로 활용하기 위한 것이다.
 
국민은행 통합 IT센터는 내년 상반기 중 김포한강신도시에 대지면적 1만3000㎡, 지하 4층~지상 7층 규모로 들어설 예정이다. 통합 IT센터 구축이 완료되면 현재 메인센터인 여의도센터가 백업센터 역할을 맡는다. 현재 국민은행의 IT 메인센터는 여의도, 백업센터는 서울 염창동에 위치해 있다.
 
국민은행은 이달 중으로 외부기관을 선정해 향후 8개월 동안 전산시스템 이전과 관련한 컨설팅을 받는다는 계획이다. 또 국민은행은 현재 짓고 있는 통합 IT센터가 구축 목적에 맞게 설계됐는지 확인하고 센터 준공 전후 각종 테스트를 비롯해 통합 관리 역할을 수행할 외부 업체 선정도 진행 중이다.
 
농협금융지주도 디지털 및 IT 관련 인프라를 한곳에 모으는 작업을 진행할 예정이다. 그룹 디지털 및 IT 관련 조직을 한곳에 모으는 것뿐만 아니라 외부 핀테크 업체들도 같은 장소에서 협업할 수 있는 공간을 마련한다는 계획이다.
 
김광수 농협금융 회장은 최근 기자간담회에서 ""올해 하반기 중 농협금융 내부 부서와 핀테크 업체들이 협업할 수 있는 공간을 만들 예정""이라며 ""내부 조직 역시 애자일(agile)조직으로 만들 계획""이라고 말한 바 있다.
 
농협금융은 이를 위해 기존 IT센터였던 양재동센터를 농협금융의 디지털 전략뿐만 아니라 외부 핀테크 업체와도 협업할 수 있는 공간으로 조성할 예정이다.
 
이처럼 금융사들이 IT 인프라 확대 구축에 나서는 것은 보다 강화된 인프라를 바탕으로 디지털금융 경쟁력을 높이는 한편 시너지를 극대화하기 위해서다. 이를 위해 하나금융지주(086790)는 작년 6월 인천 청라국제도시에 국내 금융사 중 처음으로 그룹 통합데이터센터를 준공하고 IT 인프라와 인력 집중화 등을 통해 시너지 확대에 나선바 있다.
 
금융권 관계자는 ""디지털을 중심으로 변화하는 금융환경에 능동적이고 신속하게 대응하기 위해서는 관련 인프라 구축 및 강화가 필수적""이라며 ""상당수 금융사들이 관련 인프라를 강화하거나 진행 중인만큼 디지털 시너지도 더 확대될 것으로 예상하고 있다""고 말했다."
